LICENCIATURA,CONTEO 
Cirujano,9740
Medicina,1823
Otra,1548
Enfermeria,1528
Neurociencias ,633
Forense,540
Fisioterapia,456
Combinados,442
Biomedica,259
Estudiante de Licenciatura,25
Cirujano dentista ,7
Farmacia,4
Psicologia,12
Medicina general y comunitaria,3
Medico,3
Medicina veterinaria y zootecnia,8
Odontologia,5
Biologia,1
Enfermeria y Obstetricia ,1
Neonatología,1
Ninguna,1
Arquitectura ,1
Quimica ,1
Derecho,1
Ingeniería en Minas y Metalurgia,1
Diseño y comunicación visual,1
Quimico Farmaceutico Biologo ,2
